CandidateID,ApplicationDate,Source,Department,Stage,TimeToHire,OfferStatus,HireStatus,Location,ExperienceYears,Gender,DiversityFlag,EduLevel,InterviewScore,ExpectedCTC,OfferedCTC,NoticePeriodDays,JoiningDate,AttritionFlag,Recruiter,Remarks
C00029,2025-05-26,Agency,Tech,Joined,14.0,Accepted,Hired,Hyderabad,20,Male,No,Bachelors,5.1,58.48,51.55,15,2025-06-09 17:08:25.237612,Yes,Alice Johnson,
C00030,2025-04-27,Career Site,Tech,Offered,,Rejected,Rejected by Applicant,Hyderabad,15,Male,No,Bachelors,9.5,33.31,34.13,15,,No,David Brown,Team player.
C00031,2025-04-22,Agency,Ops,Offered,,Rejected,Rejected by Applicant,Hyderabad,9,Female,Yes,Bachelors,5.0,15.63,17.77,90,,No,Carol Davis,Highly motivated.
C00032,2025-04-08,Career Site,Tech,Joined,22.0,Accepted,Hired,Bangalore,7,Male,No,Diploma,4.9,17.93,14.48,15,2025-04-30 17:08:25.237612,No,Carol Davis,Strong potential.
C00033,2024-11-18,Naukri,Ops,Joined,15.0,Accepted,Hired,Bangalore,2,Female,Yes,PhD,3.9,19.18,20.78,30,2024-12-03 17:08:25.237612,Yes,Carol Davis,Quick learner.
C00034,2025-05-11,Career Site,Tech,Offered,,Rejected,Rejected by Applicant,Bangalore,13,Female,Yes,Bachelors,9.2,40.59,39.93,90,,No,Eve Miller,Highly motivated.
C00035,2025-03-01,LinkedIn,Ops,Joined,52.0,Accepted,Hired,Mumbai,18,Male,No,Diploma,3.3,50.5,43.37,15,2025-04-22 17:08:25.237612,No,David Brown,Excellent communication skills.
C00036,2025-01-30,LinkedIn,Marketing,Joined,59.0,Accepted,Hired,Chennai,10,Female,Yes,Masters,8.6,12.77,11.57,90,2025-03-30 17:08:25.237612,No,David Brown,Impressive background.
C00037,2024-11-26,Naukri,Finance,Offered,,Rejected,Rejected by Applicant,Chennai,3,Male,No,Masters,4.0,24.7,24.75,90,,No,Eve Miller,Profile reviewed.
C00038,2025-06-07,Naukri,Ops,Joined,28.0,Accepted,Hired,Mumbai,6,Female,Yes,PhD,5.3,23.63,20.83,15,2025-07-05 17:08:25.237612,No,Eve Miller,Team player.
C00039,2024-10-22,LinkedIn,Tech,Joined,18.0,Accepted,Hired,Bangalore,20,Male,No,PhD,5.4,37.99,37.84,60,2024-11-09 17:08:25.237612,No,Carol Davis,
C00040,2025-07-01,LinkedIn,Tech,Joined,20.0,Accepted,Hired,Chennai,4,Female,Yes,Bachelors,7.4,11.39,9.73,60,2025-07-21 17:08:25.237612,No,Alice Johnson,
C00041,2024-11-06,Career Site,Finance,Joined,42.0,Accepted,Hired,Bangalore,3,Male,No,PhD,9.8,30.44,30.05,90,2024-12-18 17:08:25.237612,No,Alice Johnson,Team player.
C00042,2024-09-27,Naukri,HR,Joined,56.0,Accepted,Hired,Hyderabad,0,Male,No,PhD,4.9,5.23,4.79,60,2024-11-22 17:08:25.237612,No,David Brown,
C00043,2024-10-12,Naukri,Ops,Joined,38.0,Accepted,Hired,Hyderabad,7,Male,No,Masters,3.2,12.83,15.31,15,2024-11-19 17:08:25.237612,No,Bob Williams,Excellent communication skills.
C00044,2025-02-27,Agency,Tech,Joined,24.0,Accepted,Hired,Hyderabad,8,Female,Yes,Bachelors,4.5,62.77,52.59,30,2025-03-23 17:08:25.237612,No,Alice Johnson,Strong cultural fit.
C00045,2025-01-04,LinkedIn,Marketing,Joined,59.0,Accepted,Hired,Bangalore,13,Female,Yes,Diploma,4.6,49.31,47.11,15,2025-03-04 17:08:25.237612,No,David Brown,Impressive background.
C00046,2024-10-26,Agency,Finance,Offered,,Rejected,Rejected by Applicant,Mumbai,4,Male,No,PhD,3.9,10.3,8.93,90,,No,Eve Miller,Candidate met expectations.
C00047,2025-04-19,Naukri,Marketing,Joined,57.0,Accepted,Hired,Bangalore,13,Other,Yes,Masters,4.8,38.16,41.84,15,2025-06-15 17:08:25.237612,No,Alice Johnson,
C00048,2025-03-05,LinkedIn,Tech,Joined,27.0,Accepted,Hired,Remote,0,Male,No,Bachelors,5.7,16.27,16.5,15,2025-04-01 17:08:25.237612,No,Bob Williams,Impressive background.
C00049,2025-01-21,Agency,Tech,Joined,15.0,Accepted,Hired,Remote,4,Female,Yes,Diploma,3.5,13.7,16.02,60,2025-02-05 17:08:25.237612,No,Bob Williams,Strong cultural fit.
C00050,2025-02-03,Referral,Tech,Joined,48.0,Accepted,Hired,Chennai,10,Male,No,PhD,3.8,53.74,48.57,15,2025-03-23 17:08:25.237612,No,Bob Williams,Excellent communication skills.
C00051,2025-05-02,Naukri,Finance,Joined,57.0,Accepted,Hired,Hyderabad,7,Male,No,Bachelors,9.1,40.9,48.96,60,2025-06-28 17:08:25.237612,No,Eve Miller,Strong potential.
C00052,2025-05-20,Referral,Ops,Joined,40.0,Accepted,Hired,Bangalore,4,Male,No,Masters,6.8,28.63,25.12,60,2025-06-29 17:08:25.237612,No,Eve Miller,Highly motivated.
C00053,2024-07-14,Agency,HR,Joined,15.0,Accepted,Hired,Bangalore,20,Female,Yes,Bachelors,7.6,31.89,26.2,15,2024-07-29 17:08:25.237612,No,David Brown,Highly motivated.
C00054,2024-09-15,Referral,HR,Joined,40.0,Accepted,Hired,Remote,3,Female,Yes,Bachelors,6.2,20.94,22.77,60,2024-10-25 17:08:25.237612,No,Bob Williams,Team player.
C00055,2024-10-07,Naukri,Marketing,Offered,,Rejected,Rejected by Applicant,Bangalore,4,Male,No,PhD,5.7,9.68,10.95,90,,No,Alice Johnson,Quick learner.
C00056,2025-04-17,LinkedIn,HR,Joined,48.0,Accepted,Hired,Hyderabad,4,Male,No,Diploma,7.7,11.38,10.07,15,2025-06-04 17:08:25.237612,No,Alice Johnson,Team player.
C00057,2024-11-27,Naukri,Tech,Joined,34.0,Accepted,Hired,Bangalore,14,Other,Yes,Diploma,5.8,23.91,24.52,30,2024-12-31 17:08:25.237612,No,Eve Miller,
C00058,2025-02-05,Referral,Tech,Offered,,Rejected,Rejected by Applicant,Bangalore,14,Male,No,Masters,6.3,47.05,39.4,30,,No,Eve Miller,
C00059,2025-02-27,LinkedIn,Finance,Joined,32.0,Accepted,Hired,Mumbai,0,Other,Yes,Diploma,7.4,6.48,6.2,15,2025-03-31 17:08:25.237612,No,Bob Williams,Positive attitude.
C00060,2025-01-24,Referral,Marketing,Offered,,Rejected,Rejected by Applicant,Mumbai,5,Male,No,Masters,8.4,12.41,14.55,15,,No,Bob Williams,Profile reviewed.
C00061,2024-09-13,Naukri,HR,Joined,15.0,Accepted,Hired,Chennai,5,Male,No,Diploma,7.7,14.73,14.7,30,2024-09-28 17:08:25.237612,Yes,Bob Williams,Impressive background.
C00062,2025-06-27,Agency,Marketing,Joined,42.0,Accepted,Hired,Hyderabad,14,Female,Yes,Bachelors,3.9,25.0,23.91,30,2025-08-08 17:08:25.237612,No,David Brown,Impressive background.
C00063,2024-08-20,LinkedIn,Tech,Joined,35.0,Accepted,Hired,Hyderabad,4,Male,No,Diploma,8.8,15.29,12.6,60,2024-09-24 17:08:25.237612,No,Bob Williams,Team player.
C00064,2024-12-30,Naukri,HR,Joined,45.0,Accepted,Hired,Hyderabad,10,Female,Yes,Diploma,3.6,19.13,16.39,60,2025-02-13 17:08:25.237612,Yes,David Brown,Strong cultural fit.
C00065,2024-12-10,LinkedIn,HR,Joined,17.0,Accepted,Hired,Hyderabad,2,Female,Yes,Diploma,7.7,12.24,11.9,15,2024-12-27 17:08:25.237612,No,Alice Johnson,
C00066,2025-04-16,Naukri,Tech,Joined,38.0,Accepted,Hired,Chennai,4,Male,No,Diploma,8.7,25.09,21.58,30,2025-05-24 17:08:25.237612,No,Alice Johnson,Strong potential.
C00067,2025-04-30,Naukri,Tech,Joined,46.0,Accepted,Hired,Bangalore,16,Female,Yes,Masters,6.0,77.45,72.87,30,2025-06-15 17:08:25.237612,No,Eve Miller,Strong potential.
C00068,2024-08-28,Referral,Tech,Joined,55.0,Accepted,Hired,Hyderabad,5,Male,No,Bachelors,7.0,42.11,43.55,90,2024-10-22 17:08:25.237612,No,Alice Johnson,Highly motivated.
C00069,2025-05-12,Career Site,HR,Joined,29.0,Accepted,Hired,Bangalore,8,Female,Yes,PhD,6.6,19.53,21.2,60,2025-06-10 17:08:25.237612,No,David Brown,Strong potential.
C00070,2025-06-11,Agency,Tech,Joined,35.0,Accepted,Hired,Bangalore,15,Male,No,Bachelors,8.2,38.84,37.76,90,2025-07-16 17:08:25.237612,No,Eve Miller,Strong potential.
C00071,2025-04-29,LinkedIn,Marketing,Joined,20.0,Accepted,Hired,Chennai,7,Male,No,Diploma,9.3,26.92,29.58,15,2025-05-19 17:08:25.237612,No,Alice Johnson,Positive attitude.
C00072,2025-03-22,LinkedIn,Finance,Joined,26.0,Accepted,Hired,Bangalore,0,Female,Yes,Masters,6.8,22.82,21.61,60,2025-04-17 17:08:25.237612,No,David Brown,Strong potential.
C00073,2025-05-18,Agency,Marketing,Joined,23.0,Accepted,Hired,Mumbai,0,Male,No,Masters,4.0,9.95,10.67,30,2025-06-10 17:08:25.237612,No,Alice Johnson,Team player.
C00074,2024-12-21,LinkedIn,Tech,Joined,56.0,Accepted,Hired,Mumbai,7,Male,No,Bachelors,5.2,52.31,47.15,90,2025-02-15 17:08:25.237612,Yes,Carol Davis,Positive attitude.
C00075,2025-05-30,Naukri,Finance,Joined,47.0,Accepted,Hired,Chennai,4,Female,Yes,Diploma,4.5,11.2,12.51,15,2025-07-16 17:08:25.237612,No,Carol Davis,Positive attitude.
C00076,2025-02-13,Referral,HR,Joined,43.0,Accepted,Hired,Remote,7,Female,Yes,Bachelors,6.6,14.92,13.32,90,2025-03-28 17:08:25.237612,No,Bob Williams,Impressive background.
C00077,2024-08-29,Career Site,Tech,Offered,,Rejected,Rejected by Applicant,Mumbai,0,Female,Yes,Masters,6.4,18.76,21.12,15,,No,David Brown,Highly motivated.
C00078,2025-01-07,LinkedIn,Tech,Joined,53.0,Accepted,Hired,Chennai,0,Male,No,PhD,6.7,15.31,17.34,60,2025-03-01 17:08:25.237612,No,Alice Johnson,Impressive background.
C00079,2025-04-14,Naukri,Tech,Joined,28.0,Accepted,Hired,Bangalore,3,Male,No,Bachelors,8.8,50.73,59.49,30,2025-05-12 17:08:25.237612,No,Bob Williams,Positive attitude.
C00080,2025-02-07,LinkedIn,Tech,Joined,24.0,Accepted,Hired,Mumbai,5,Male,No,PhD,5.2,40.3,34.52,30,2025-03-03 17:08:25.237612,No,David Brown,
C00081,2024-11-26,LinkedIn,Marketing,Joined,30.0,Accepted,Hired,Bangalore,10,Male,No,PhD,9.3,13.39,11.41,15,2024-12-26 17:08:25.237612,No,Carol Davis,
C00082,2025-05-12,Career Site,Finance,Joined,38.0,Accepted,Hired,Hyderabad,10,Male,No,PhD,5.3,31.06,36.26,90,2025-06-19 17:08:25.237612,No,David Brown,
C00083,2024-10-11,Referral,Tech,Joined,10.0,Accepted,Hired,Bangalore,1,Male,No,Masters,4.3,19.37,16.17,90,2024-10-21 17:08:25.237612,No,David Brown,Excellent communication skills.
C00084,2024-09-18,Referral,HR,Joined,25.0,Accepted,Hired,Bangalore,9,Male,No,Bachelors,7.1,30.07,24.65,30,2024-10-13 17:08:25.237612,No,David Brown,Impressive background.
C00085,2025-02-07,Referral,HR,Joined,47.0,Accepted,Hired,Bangalore,12,Female,Yes,Diploma,4.3,39.14,46.04,60,2025-03-26 17:08:25.237612,No,Eve Miller,Impressive background.
C00086,2025-06-05,Referral,Tech,Joined,19.0,Accepted,Hired,Chennai,1,Male,No,Bachelors,5.0,8.9,8.56,60,2025-06-24 17:08:25.237612,No,Bob Williams,Quick learner.
C00087,2025-01-14,Referral,Tech,Joined,30.0,Accepted,Hired,Remote,14,Female,Yes,Bachelors,3.1,33.23,27.38,90,2025-02-13 17:08:25.237612,Yes,Eve Miller,Strong potential.
C00088,2025-02-22,Naukri,Tech,Joined,21.0,Accepted,Hired,Chennai,17,Other,Yes,Masters,9.0,63.1,75.67,15,2025-03-15 17:08:25.237612,No,David Brown,
C00089,2024-07-30,Career Site,Ops,Offered,,Rejected,Rejected by Applicant,Chennai,10,Female,Yes,PhD,7.1,20.07,18.57,60,,No,Bob Williams,Interview completed.
C00090,2025-06-14,Agency,HR,Joined,13.0,Accepted,Hired,Mumbai,0,Male,No,PhD,8.5,15.61,14.2,90,2025-06-27 17:08:25.237612,No,Bob Williams,Positive attitude.
C00091,2025-01-23,LinkedIn,Marketing,Joined,40.0,Accepted,Hired,Bangalore,1,Male,No,Masters,6.6,15.65,15.77,30,2025-03-04 17:08:25.237612,Yes,Alice Johnson,Strong potential.
C00092,2025-05-03,Naukri,Ops,Offered,,Rejected,Rejected by Applicant,Hyderabad,6,Male,No,PhD,8.3,32.15,30.57,15,,No,Bob Williams,Profile reviewed.
C00093,2025-03-25,Agency,Ops,Joined,22.0,Accepted,Hired,Mumbai,2,Female,Yes,Masters,7.0,14.29,16.6,90,2025-04-16 17:08:25.237612,No,Carol Davis,
C00094,2025-01-25,LinkedIn,HR,Offered,,Rejected,Rejected by Applicant,Chennai,15,Female,Yes,Bachelors,5.8,11.73,12.57,30,,No,Bob Williams,
C00095,2024-11-29,Career Site,Tech,Offered,,Rejected,Rejected by Applicant,Bangalore,1,Female,Yes,Bachelors,3.7,16.64,18.64,15,,No,Eve Miller,
C00096,2025-04-13,Referral,Ops,Joined,55.0,Accepted,Hired,Bangalore,7,Male,No,Masters,7.0,42.26,37.45,90,2025-06-07 17:08:25.237612,No,David Brown,
C00097,2024-12-01,Naukri,Tech,Joined,33.0,Accepted,Hired,Chennai,2,Male,No,Bachelors,9.3,28.48,29.65,15,2025-01-03 17:08:25.237612,No,Alice Johnson,Quick learner.
C00098,2025-03-26,Referral,Marketing,Offered,,Rejected,Rejected by Applicant,Remote,2,Male,No,PhD,3.4,8.24,9.0,60,,No,Bob Williams,Interview completed.
C00099,2025-05-04,Career Site,Tech,Joined,19.0,Accepted,Hired,Mumbai,10,Female,Yes,Masters,9.3,28.13,24.9,90,2025-05-23 17:08:25.237612,No,David Brown,Good problem-solver.
C00100,2025-04-30,Referral,Marketing,Joined,25.0,Accepted,Hired,Hyderabad,4,Male,No,Diploma,8.2,25.99,24.61,90,2025-05-25 17:08:25.237612,No,Bob Williams,Strong cultural fit.
C00101,2024-09-10,Career Site,Finance,Joined,58.0,Accepted,Hired,Chennai,4,Male,No,Masters,7.9,17.31,16.43,15,2024-11-07 17:08:25.237612,No,Alice Johnson,Impressive background.
C00102,2025-05-28,Naukri,Ops,Joined,24.0,Accepted,Hired,Hyderabad,15,Female,Yes,Masters,6.1,35.66,28.86,15,2025-06-21 17:08:25.237612,No,David Brown,Highly motivated.
C00103,2024-07-29,Referral,Tech,Joined,26.0,Accepted,Hired,Bangalore,0,Female,Yes,Bachelors,6.8,23.91,27.78,15,2024-08-24 17:08:25.237612,No,Eve Miller,Positive attitude.
C00104,2024-12-11,Career Site,Tech,Joined,18.0,Accepted,Hired,Chennai,2,Male,No,Masters,5.4,6.17,6.01,30,2024-12-29 17:08:25.237612,No,David Brown,
C00105,2024-10-08,Naukri,Ops,Joined,19.0,Accepted,Hired,Mumbai,2,Male,No,Bachelors,5.3,4.99,4.19,60,2024-10-27 17:08:25.237612,No,Bob Williams,Strong cultural fit.
C00106,2025-07-08,Referral,Tech,Joined,44.0,Accepted,Hired,Bangalore,6,Male,No,Masters,7.7,40.56,41.16,15,2025-08-21 17:08:25.237612,No,Carol Davis,Highly motivated.
C00107,2025-07-10,Career Site,Tech,Offered,,Rejected,Rejected by Applicant,Hyderabad,13,Male,No,PhD,3.5,65.96,70.23,30,,No,Carol Davis,Strong cultural fit.
C00108,2024-09-05,LinkedIn,Marketing,Joined,18.0,Accepted,Hired,Remote,20,Female,Yes,Masters,3.5,49.95,40.82,90,2024-09-23 17:08:25.237612,No,David Brown,
C00109,2024-11-29,LinkedIn,HR,Joined,32.0,Accepted,Hired,Bangalore,8,Male,No,Diploma,4.0,21.59,23.4,60,2024-12-31 17:08:25.237612,No,Carol Davis,
C00110,2025-07-06,LinkedIn,Marketing,Offered,,Rejected,Rejected by Applicant,Bangalore,15,Male,No,Diploma,3.8,55.74,51.41,15,,No,Alice Johnson,Strong potential.
C00111,2025-02-23,Referral,Tech,Joined,49.0,Accepted,Hired,Mumbai,11,Male,No,Masters,9.6,73.84,62.08,90,2025-04-13 17:08:25.237612,No,David Brown,Highly motivated.
C00112,2025-04-08,LinkedIn,Tech,Offered,,Rejected,Rejected by Applicant,Remote,19,Male,No,Diploma,6.8,78.3,75.18,60,,No,David Brown,Impressive background.
C00113,2024-07-24,LinkedIn,Tech,Offered,,Rejected,Rejected by Applicant,Hyderabad,10,Female,Yes,Diploma,3.8,50.5,54.35,15,,No,Eve Miller,Profile reviewed.
C00114,2025-05-29,Naukri,Finance,Joined,18.0,Accepted,Hired,Chennai,6,Male,No,PhD,5.8,37.91,42.81,90,2025-06-16 17:08:25.237612,No,David Brown,Positive attitude.
C00115,2025-05-22,Naukri,Tech,Joined,41.0,Accepted,Hired,Hyderabad,6,Male,No,Bachelors,7.8,35.9,40.28,30,2025-07-02 17:08:25.237612,No,Eve Miller,Impressive background.
C00116,2025-06-14,Naukri,HR,Joined,36.0,Accepted,Hired,Hyderabad,4,Female,Yes,Masters,7.1,17.38,18.86,60,2025-07-20 17:08:25.237612,No,Carol Davis,Strong potential.
C00117,2025-03-28,LinkedIn,Tech,Offered,,Rejected,Rejected by Applicant,Hyderabad,0,Male,No,Masters,7.0,17.98,19.51,90,,No,David Brown,Interview completed.
C00118,2025-02-20,Naukri,Marketing,Joined,40.0,Accepted,Hired,Chennai,2,Female,Yes,Diploma,6.5,5.83,5.9,15,2025-04-01 17:08:25.237612,No,Eve Miller,Excellent communication skills.
C00119,2024-11-30,Naukri,Finance,Joined,29.0,Accepted,Hired,Hyderabad,1,Other,Yes,PhD,5.0,16.09,17.0,60,2024-12-29 17:08:25.237612,No,Carol Davis,
C00120,2025-05-12,Referral,Tech,Joined,59.0,Accepted,Hired,Hyderabad,17,Male,No,Diploma,7.0,74.73,84.84,15,2025-07-10 17:08:25.237612,No,Alice Johnson,Good problem-solver.
C00121,2024-10-17,Career Site,Tech,Joined,10.0,Accepted,Hired,Hyderabad,1,Other,Yes,PhD,8.5,31.0,28.36,90,2024-10-27 17:08:25.237612,No,Carol Davis,
C00122,2024-09-18,Career Site,HR,Joined,53.0,Accepted,Hired,Bangalore,10,Female,Yes,Bachelors,6.9,11.12,12.25,60,2024-11-10 17:08:25.237612,Yes,Eve Miller,Team player.
C00123,2024-07-20,Naukri,Ops,Joined,23.0,Accepted,Hired,Chennai,2,Female,Yes,Diploma,8.3,18.48,17.23,90,2024-08-12 17:08:25.237612,No,Bob Williams,Good problem-solver.
C00124,2024-10-14,LinkedIn,Tech,Joined,60.0,Accepted,Hired,Bangalore,9,Male,No,Masters,7.8,68.6,81.94,60,2024-12-13 17:08:25.237612,No,David Brown,
C00125,2025-04-11,Career Site,Tech,Joined,25.0,Accepted,Hired,Bangalore,20,Male,No,Masters,5.4,39.62,41.85,30,2025-05-06 17:08:25.237612,No,Bob Williams,Team player.
C00126,2025-01-16,Career Site,Finance,Joined,55.0,Accepted,Hired,Hyderabad,8,Female,Yes,Bachelors,8.9,17.38,18.16,60,2025-03-12 17:08:25.237612,No,Eve Miller,Quick learner.
C00127,2025-04-15,LinkedIn,Tech,Joined,14.0,Accepted,Hired,Bangalore,8,Female,Yes,Bachelors,8.5,17.61,15.26,90,2025-04-29 17:08:25.237612,No,Bob Williams,Strong cultural fit.
C00128,2025-03-03,LinkedIn,Ops,Offered,,Rejected,Rejected by Applicant,Bangalore,2,Male,No,Bachelors,9.7,11.05,11.54,15,,No,Carol Davis,Interview completed.
C00129,2025-03-28,Referral,Finance,Offered,,Rejected,Rejected by Applicant,Remote,6,Male,No,Diploma,9.4,28.74,33.91,30,,No,Alice Johnson,
C00130,2025-04-16,Naukri,Tech,Joined,59.0,Accepted,Hired,Hyderabad,2,Male,No,Diploma,8.7,26.04,29.4,30,2025-06-14 17:08:25.237612,Yes,Eve Miller,Strong cultural fit.
C00131,2024-10-22,Career Site,Tech,Offered,,Rejected,Rejected by Applicant,Mumbai,1,Male,No,Masters,6.9,22.54,22.02,15,,No,Eve Miller,Strong potential.
C00132,2025-06-30,Agency,Marketing,Joined,54.0,Accepted,Hired,Hyderabad,18,Female,Yes,Bachelors,8.2,52.76,43.05,30,2025-08-23 17:08:25.237612,No,Eve Miller,Strong potential.
C00133,2024-10-28,Referral,Tech,Joined,15.0,Accepted,Hired,Mumbai,1,Female,Yes,PhD,4.9,16.1,17.0,60,2024-11-12 17:08:25.237612,No,Eve Miller,Positive attitude.
C00134,2024-09-24,LinkedIn,Tech,Offered,,Rejected,Rejected by Applicant,Bangalore,17,Female,Yes,Bachelors,3.7,44.4,46.5,60,,No,Carol Davis,
C00135,2024-11-15,Referral,Ops,Joined,54.0,Accepted,Hired,Hyderabad,12,Female,Yes,Masters,6.9,31.57,27.71,90,2025-01-08 17:08:25.237612,No,Carol Davis,Highly motivated.
C00136,2024-08-02,Referral,Marketing,Joined,47.0,Accepted,Hired,Bangalore,1,Female,Yes,Masters,4.7,20.33,23.86,15,2024-09-18 17:08:25.237612,No,David Brown,Excellent communication skills.
C00137,2024-08-24,LinkedIn,Tech,Joined,42.0,Accepted,Hired,Chennai,17,Male,No,Bachelors,5.5,48.28,55.86,90,2024-10-05 17:08:25.237612,No,Alice Johnson,
C00138,2024-12-01,Referral,HR,Joined,24.0,Accepted,Hired,Hyderabad,18,Female,Yes,PhD,5.8,33.88,30.26,60,2024-12-25 17:08:25.237612,No,Carol Davis,Excellent communication skills.
C00139,2024-08-21,Agency,Tech,Joined,11.0,Accepted,Hired,Mumbai,9,Male,No,Masters,3.6,15.73,12.78,90,2024-09-01 17:08:25.237612,No,Bob Williams,Positive attitude.
